times,assemble_time1,assemble_time2,assemble_time3,assemble_time4,assemble_time5,assemble_time6,assemble_time7,assemble_time8,assemble_time9,assemble_time10,assemble_time11,assemble_time12,assemble_time13,assemble_time14,assemble_time15,assemble_time16,assemble_time17,assemble_time18,assemble_time19,assemble_time20,assemble_time21,assemble_time22,assemble_time23,assemble_time24,assemble_time25,assemble_time26,assemble_time27,assemble_time28,assemble_time29,assemble_time30,assemble_time31,assemble_time32,assemble_time33,assemble_time34,assemble_time35,assemble_time36,assemble_time37,assemble_time38,assemble_time39,assemble_time40,assemble_time41,assemble_time42,assemble_time43,assemble_time44,assemble_time45,assemble_time46,assemble_time47,assemble_time48,assemble_time49,assemble_time50,assemble_time51,assemble_time52,assemble_time53,assemble_time54,assemble_time55,assemble_time56,assemble_time57,assemble_time58,assemble_time59,assemble_time60,assemble_time61,assemble_time62,assemble_time63,assemble_time64,assemble_time65,assemble_time66,assemble_time67,assemble_time68,assemble_time69,assemble_time70,assemble_time71,assemble_time72,assemble_time73,assemble_time74,assemble_time75,assemble_time76,assemble_time77,assemble_time78,assemble_time79,assemble_time80,assemble_time81,assemble_time82,assemble_time83,assemble_time84,assemble_time85,assemble_time86,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23,date24,date25,date26,date27,date28,date29,date30,date31,date32,date33,date34,date35,date36,date37,date38,date39,date40,date41,date42,date43,date44,date45,date46,date47,date48,date49,date50,date51,date52,date53,date54,date55,date56,date57,date58,date59,date60,date61,date62,date63,date64,date65,date66,date67,date68,date69,date70,date71,date72,date73,date74,date75,date76,date77,date78,date79,date80,date81,date82,date83,date84,date85,date86,hours1,hours2,hours3,hours4,hours5,hours6,hours7,hours8,hours9,hours10,hours11,hours12,hours13,hours14,hours15,hours16,hours17,hours18,hours19,hours20,hours21,hours22,hours23,hours24,hours25,hours26,hours27,hours28,hours29,hours30,hours31,hours32,hours33,hours34,hours35,hours36,hours37,hours38,hours39,hours40,hours41,hours42,hours43,hours44,hours45,hours46,hours47,hours48,hours49,hours50,hours51,hours52,hours53,hours54,hours55,hours56,hours57,hours58,hours59,hours60,hours61,hours62,hours63,hours64,hours65,hours66,hours67,hours68,hours69,hours70,hours71,hours72,hours73,hours74,hours75,hours76,hours77,hours78,hours79,hours80,hours81,hours82,hours83,hours84,hours85,hours86
50,1872,1892,5663,5713,3628,4329,7204,1810,1814,1822,12688,608,4431,4461,3743,639,9518,1906,1802,1800,713,1078,1079,1084,1083,1085,2413,1070,1088,727,721,723,718,1807,3637,5448,1825,1840,7380,1862,1889,1896,2536,1867 ,1879 ,5659 ,5711 ,3627 ,4324 ,7203 ,1805 ,1810 ,1811 ,12679 ,613 ,4438 ,4465 ,3750 ,638 ,9520 ,1899 ,1809 ,1794 ,723 ,1082 ,1090 ,1082 ,1090 ,1085 ,2400 ,1075 ,1083 ,719 ,719 ,729 ,727 ,1816 ,3631 ,5448 ,1824 ,1846 ,7385 ,1865 ,1884 ,1903 ,2537 ,2018/7/7,2018/7/7,2018/7/7,2018/7/7,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/7,2018/7/7,2018/7/7,2018/7/7,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,20,21,21,22,6,8,9,13,13,14,14,15,18,19,20,22,22,22,8,9,9,10,10,10,10,11,11,11,13,13,13,14,14,15,15,15,16,18,18,19,21,22,22,20,21,21,22,6,8,9,13,13,14,14,15,18,19,20,22,22,22,8,9,9,10,10,10,10,11,11,11,13,13,13,14,14,15,15,15,16,18,18,19,21,22,22
51,1807,1812,5434,5433,3643,4403,7389,1900,1899,1813,12681,605,4314,4321,3609,602,9089,1813,1845,1843,750,1108,1115,1123,1123,1123,2522,1126,1140,759,763,754,723,1798,3608,5420,1819,1797,7199,1796,1808,1823,2413,1807 ,1806 ,5432 ,5428 ,3648 ,4413 ,7389 ,1909 ,1916 ,1812 ,12677 ,593 ,4326 ,4323 ,3615 ,609 ,9085 ,1817 ,1842 ,1840 ,747 ,1114 ,1116 ,1124 ,1130 ,1123 ,2519 ,1124 ,1141 ,765 ,765 ,763 ,724 ,1801 ,3612 ,5425 ,1799 ,1800 ,7209 ,1790 ,1818 ,1810 ,2418 ,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,13,13,14,14,16,17,18,22,22,6,6,7,10,10,13,15,15,15,18,18,19,19,19,20,20,20,21,21,22,22,22,22,6,7,7,7,8,10,10,11,14,14,15,13,13,14,14,16,17,18,22,22,6,6,7,10,10,13,15,15,15,18,18,19,19,19,20,20,20,21,21,22,22,22,22,6,7,7,7,8,10,10,11,14,14,15
52,1892,1909,5433,5431,3606,4328,7199,1829,1815,1821,12782,608,4487,4488,3776,593,9029,1803,1802,1799,730,1086,1074,1080,1079,1081,2413,1078,1082,746,734,726,737,1822,3664,5501,1849,1863,7482,1891,1808,1810,2406,1902 ,1911 ,5435 ,5432 ,3603 ,4313 ,7204 ,1818 ,1816 ,1820 ,12782 ,611 ,4492 ,4500 ,3780 ,599 ,9032 ,1794 ,1802 ,1800 ,719 ,1089 ,1080 ,1077 ,1072 ,1079 ,2405 ,1090 ,1083 ,725 ,740 ,728 ,731 ,1833 ,3653 ,5507 ,1848 ,1861 ,7483 ,1890 ,1808 ,1814 ,2409 ,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/8,2018/7/8,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,22,22,6,6,8,9,10,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,16,17,18,19,20,21,6,6,7,22,22,6,6,8,9,10,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,16,17,18,19,20,21,6,6,7
53,1823,1816,5461,5478,3673,4470,7486,1808,1801,1804,12611,593,4333,4332,3617,608,9132,1837,1849,1868,763,1124,1131,1125,1130,1148,2543,1137,1092,731,730,716,719,1802,3609,5406,1807,1804,7227,1803,1820,1828,2427,1818 ,1818 ,5455 ,5483 ,3673 ,4450 ,7484 ,1802 ,1805 ,1805 ,12614 ,605 ,4338 ,4336 ,3619 ,614 ,9130 ,1828 ,1854 ,1869 ,751 ,1128 ,1132 ,1131 ,1129 ,1144 ,2538 ,1141 ,1087 ,730 ,731 ,728 ,722 ,1803 ,3604 ,5393 ,1801 ,1805 ,7238 ,1805 ,1809 ,1832 ,2440 ,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/9,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,17,19,20,20,21,21,21,21,22,22,22,6,6,7,7,7,8,8,9,10,11,13,13,15,16,16,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,17,19,20,20,21,21,21,21,22,22,22,6,6,7,7,7,8,8,9,10,11,13,13,15,16,16
54,1807,1808,5418,5406,3603,4324,7223,1822,1813,1837,12847,618,4526,4561,3630,602,9025,1804,1806,1804,722,1082,1086,1090,1079,1100,2428,1090,1094,737,721,738,735,1842,3694,5539,1876,1890,7614,1907,1803,1805,2410,1804 ,1796 ,5423 ,5408 ,3602 ,4313 ,7230 ,1823 ,1831 ,1837 ,12846 ,615 ,4536 ,4573 ,3620 ,598 ,9006 ,1813 ,1801 ,1801 ,725 ,1088 ,1089 ,1085 ,1091 ,1083 ,2429 ,1091 ,1089 ,734 ,727 ,729 ,738 ,1849 ,3692 ,5537 ,1871 ,1885 ,7618 ,1912 ,1803 ,1802 ,2398 ,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,7,7,7,8,9,11,13,16,16,17,17,18,21,22,6,8,8,8,11,11,13,13,14,14,14,15,15,15,16,16,16,17,17,18,18,18,20,21,22,22,7,8,8,7,7,7,8,9,11,13,16,16,17,17,18,21,22,6,8,8,8,11,11,13,13,14,14,14,15,15,15,16,16,16,17,17,18,18,18,20,21,22,22,7,8,8
55,1823,1826,5511,5501,3715,4536,7607,1804,1810,1807,12608,602,4344,4353,3652,627,9227,1848,1894,1884,763,1144,1145,1079,1093,1084,2414,1083,1083,715,725,716,709,1803,3605,5399,1794,1807,7254,1811,1829,1837,2461,1826 ,1832 ,5506 ,5501 ,3719 ,4535 ,7613 ,1805 ,1808 ,1801 ,12605 ,599 ,4349 ,4338 ,3649 ,620 ,9229 ,1843 ,1889 ,1880 ,766 ,1143 ,1135 ,1085 ,1088 ,1090 ,2409 ,1081 ,1095 ,725 ,722 ,728 ,719 ,1793 ,3596 ,5401 ,1801 ,1814 ,7250 ,1822 ,1836 ,1835 ,2458 ,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/10,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,16,16,17,17,19,21,22,8,8,9,9,10,14,14,16,18,18,18,21,21,22,22,22,6,6,6,7,7,8,8,8,8,9,10,10,10,11,14,14,15,17,17,18,16,16,17,17,19,21,22,8,8,9,9,10,14,14,16,18,18,18,21,21,22,22,22,6,6,6,7,7,8,8,8,8,9,10,10,10,11,14,14,15,17,17,18
56,1800,1805,5384,5404,3598,4329,7245,1848,1843,1842,13004,611,4345,4346,3614,592,8999,1791,1807,1813,718,1090,1087,1089,1097,1096,2449,1102,1115,742,748,733,749,1859,3720,5617,1900,1812,7247,1806,1806,1797,2399,1802 ,1810 ,5404 ,5400 ,3602 ,4334 ,7239 ,1849 ,1848 ,1845 ,13009 ,616 ,4347 ,4351 ,3619 ,599 ,8996 ,1791 ,1809 ,1823 ,722 ,1095 ,1083 ,1090 ,1095 ,1092 ,2437 ,1108 ,1112 ,743 ,744 ,743 ,746 ,1857 ,3710 ,5608 ,1879 ,1810 ,7249 ,1801 ,1800 ,1813 ,2398 ,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,8,8,9,9,11,13,14,18,18,18,19,19,6,6,7,10,10,10,13,14,14,15,15,15,16,16,16,17,17,18,18,18,18,19,19,20,21,6,6,7,9,9,10,8,8,9,9,11,13,14,18,18,18,19,19,6,6,7,10,10,10,13,14,14,15,15,15,16,16,16,17,17,18,18,18,18,19,19,20,21,6,6,7,9,9,10
57,1847,1848,5538,5579,3772,4572,7250,1801,1796,1800,12612,600,4387,4386,3674,624,9291,1885,1901,1809,729,1084,1083,1084,1082,1077,2417,1078,1081,720,713,726,727,1796,3598,5427,1803,1823,7310,1819,1850,1860,2473,1847 ,1854 ,5540 ,5581 ,3770 ,4567 ,7254 ,1807 ,1807 ,1790 ,12611 ,607 ,4378 ,4384 ,3669 ,625 ,9297 ,1871 ,1905 ,1807 ,727 ,1087 ,1086 ,1081 ,1084 ,1085 ,2399 ,1084 ,1077 ,737 ,720 ,718 ,718 ,1798 ,3600 ,5417 ,1807 ,1821 ,7305 ,1827 ,1837 ,1859 ,2472 ,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/11,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,18,18,18,19,21,22,6,10,10,10,11,11,16,16,17,19,19,20,22,6,6,7,7,7,8,8,8,8,9,9,10,10,10,11,11,13,14,15,16,16,18,19,19,18,18,18,19,21,22,6,10,10,10,11,11,16,16,17,19,19,20,22,6,6,7,7,7,8,8,8,8,9,9,10,10,10,11,11,13,14,15,16,16,18,19,19
58,1799,1798,5408,5399,3612,4364,7303,1868,1858,1875,13102,641,4337,4325,3606,602,9000,1794,1825,1822,729,1096,1102,1106,1100,1107,2461,1114,1105,749,740,747,746,1887,3771,5706,1808,1802,7216,1798,1815,1794,2403,1798 ,1797 ,5410 ,5404 ,3608 ,4356 ,7302 ,1866 ,1857 ,1872 ,13109 ,635 ,4325 ,4324 ,3604 ,601 ,9000 ,1798 ,1816 ,1818 ,737 ,1088 ,1106 ,1100 ,1097 ,1099 ,2453 ,1104 ,1119 ,738 ,746 ,750 ,755 ,1882 ,3771 ,5713 ,1813 ,1805 ,7212 ,1803 ,1798 ,1802 ,2402 ,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,10,10,10,11,13,15,16,19,19,20,20,21,8,8,9,11,11,11,15,15,16,16,17,17,17,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11,10,10,10,11,13,15,16,19,19,20,20,21,8,8,9,11,11,11,15,15,16,16,17,17,17,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11
59,1858,1856,5616,5657,3813,4339,7209,1804,1804,1798,12648,595,4393,4394,3721,622,9439,1884,1802,1799,730,1083,1081,1079,1084,1076,2408,1081,1087,718,737,719,723,1813,3626,5438,1817,1838,7390,1845,1864,1887,2512,1858 ,1854 ,5608 ,5667 ,3797 ,4336 ,7205 ,1806 ,1801 ,1806 ,12646 ,605 ,4403 ,4414 ,3717 ,633 ,9429 ,1886 ,1806 ,1804 ,720 ,1082 ,1078 ,1082 ,1075 ,1086 ,2399 ,1079 ,1078 ,718 ,716 ,716 ,721 ,1816 ,3622 ,5434 ,1828 ,1835 ,7379 ,1847 ,1873 ,1893 ,2514 ,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/12,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,19,19,20,21,22,7,8,11,11,13,13,14,17,17,19,21,21,21,7,7,8,8,9,9,9,9,10,10,11,11,11,13,13,14,14,14,15,17,18,18,20,21,21,19,19,20,21,22,7,8,11,11,13,13,14,17,17,19,21,21,21,7,7,8,8,9,9,9,9,10,10,11,11,11,13,13,14,14,14,15,17,18,18,20,21,21
60,1799,1806,5414,5423,3625,4393,7339,1883,1890,1902,13324,603,4327,4324,3603,603,9052,1801,1843,1834,728,1115,1105,1113,1125,1109,2499,1121,1131,754,759,749,775,1812,3629,5439,1803,1803,7203,1803,1807,1817,2406,1800 ,1798 ,5426 ,5415 ,3630 ,4387 ,7337 ,1890 ,1895 ,1904 ,13328 ,610 ,4323 ,4321 ,3600 ,616 ,9061 ,1806 ,1829 ,1839 ,737 ,1108 ,1112 ,1104 ,1111 ,1119 ,2501 ,1122 ,1134 ,763 ,755 ,769 ,764 ,1818 ,3614 ,5430 ,1807 ,1807 ,7214 ,1798 ,1803 ,1807 ,2417 ,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/13,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/14,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,2018/7/15,11,11,13,13,15,16,17,21,21,22,22,6,9,9,11,14,14,14,17,17,18,18,18,19,19,19,20,20,21,21,21,21,22,6,6,6,7,9,9,10,13,13,14,11,11,13,13,15,16,17,21,21,22,22,6,9,9,11,14,14,14,17,17,18,18,18,19,19,19,20,20,21,21,21,21,22,6,6,6,7,9,9,10,13,13,14
